company,school_1,alumnicount_1,school_2,alumnicount_2,school_3,alumnicount_3,school_4,alumnicount_4,school_5,alumnicount_5,school_6,alumnicount_6,school_7,alumnicount_7,school_8,alumnicount_8,school_9,alumnicount_9,school_10,alumnicount_10,school_11,alumnicount_11,school_12,alumnicount_12,school_13,alumnicount_13,school_14,alumnicount_14,school_15,alumnicount_15,id
Palantir Technologies,stanford university,134.0,university of pennsylvania,102.0,university of california berkeley,99.0,massachusetts institute of technology,97.0,georgia institute of technology,97.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,377
Palo Alto Networks,san jose state university,490.0,university of california berkeley,182.0,tel aviv university,159.0,university of mumbai,133.0,bengurion university of the negev,132.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,378
Paramount Global,university of california riverside,4.0,california state university fullerton,4.0,university of phoenix,3.0,liverpool john moores university,2.0,osmania university,2.0,harvard university,2.0,ucla,2.0,georgia institute of technology,2.0,uc irvine,2.0,california state university long beach,2.0,california state universitysacramento,1.0,new york institute of technology,1.0,abilene christian university,1.0,miami dade college,1.0,department of management sciences pumba savitribai phule pune university,1.0,379
Parker Hannifin,the university of akron,246.0,cleveland state university,201.0,western michigan university,182.0,university of phoenix,180.0,universidad autonoma de nuevo leon,157.0,the ohio state university,148.0,penn state university,142.0,purdue university,127.0,uc irvine,121.0,california state university northridge,112.0,ohio university,107.0,california state university fullerton,100.0,penn state erie the behrend college,99.0,north carolina state university,96.0,fgv fundacao getulio vargas,82.0,380
Paychex,monroe community college,583.0,rochester institute of technology,512.0,suny brockport,481.0,st john fisher university,232.0,university of phoenix,176.0,university at buffalo,153.0,suny geneseo,132.0,nazareth university,131.0,arizona state university,114.0,state university of new york at fredonia,108.0,state university of new york at oswego,107.0,finger lakes community college,102.0,roberts wesleyan university,101.0,university of south florida,78.0,university of arizona,64.0,381
Paycom,university of central oklahoma,760.0,university of oklahoma,731.0,oklahoma state university,524.0,oklahoma city community college,208.0,the university of texas at dallas,145.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,382
PayPal,anna university chennai,343.0,arizona state university,275.0,birla institute of technology and science pilani,268.0,san jose state university,251.0,university of madras,213.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,383
Pfizer,university college dublin,535.0,rutgers university,521.0,university of washington,498.0,penn state university,488.0,aristotle university of thessaloniki auth,431.0,university of michigan,344.0,cornell university,317.0,university of north carolina at chapel hill,269.0,new york university,268.0,university of mumbai,257.0,university of pennsylvania,222.0,columbia university,221.0,harvard university,211.0,fgv fundacao getulio vargas,203.0,kings college london,195.0,384
PG&E Corporation,california polytechnic state universitysan luis obispo,603.0,california state universitysacramento,595.0,university of california davis,571.0,san jose state university,547.0,san francisco state university,539.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,385
Philip Morris International,krakow university of economics,675.0,alma mater studiorum universita di bologna,477.0,jagiellonian university,451.0,agh university of krakow,435.0,university of buenos aires,297.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,386
Phillips 66,oklahoma state university,344.0,texas am university,261.0,university of houston,170.0,mcneese state university,128.0,university of oklahoma,127.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,387
Pinnacle West,arizona state university,10.0,w p carey school of business arizona state university,6.0,arizona state university college of law,4.0,university of phoenix,4.0,university of arizona,4.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,388
PNC Financial Services,university of pittsburgh,1361.0,penn state university,1048.0,robert morris university,718.0,duquesne university,628.0,university of phoenix,553.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,389
Pool Corporation,southeastern louisiana university,53.0,louisiana state university,47.0,university of new orleans,29.0,university of louisiana at lafayette,13.0,delgado community college,12.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,390
PPG Industries,university of pittsburgh,291.0,penn state university,253.0,tecnologico de monterrey,193.0,instituto politecnico nacional,185.0,universidad nacional autonoma de mexico,161.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,391
PPL Corporation,university of louisville,334.0,penn state university,269.0,university of kentucky,157.0,desales university,93.0,lehigh university,81.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,392
Principal Financial Group,iowa state university,897.0,university of northern iowa,628.0,university of iowa,602.0,drake university,463.0,des moines area community college,353.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,393
Procter & Gamble,university of cincinnati,1258.0,tecnologico de monterrey,679.0,miami university,594.0,sgh warsaw school of economics,536.0,national university of singapore,506.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,394
Progressive Corporation,cleveland state university,983.0,kent state university,825.0,university of phoenix,544.0,lakeland community college,532.0,the university of akron,468.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,395
Prologis,university of colorado boulder,41.0,university of california berkeley,33.0,university of colorado boulder leeds school of business,27.0,university of colorado denver,26.0,university of southern california,25.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,396
Prudential Financial,rutgers university,521.0,rutgers business school,272.0,montclair state university,254.0,penn state university,248.0,new jersey institute of technology,229.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,397
Public Service Enterprise Group,new jersey institute of technology,316.0,rutgers university,260.0,montclair state university,125.0,thomas edison state university,107.0,rowan university,101.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,398
PTC Inc.,savitribai phule pune university,327.0,academia de studii economice din bucuresti,69.0,boston university,65.0,university of massachusetts amherst,65.0,northeastern university,65.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,399
Public Storage,university of phoenix,27.0,california state university northridge,18.0,university of southern california,14.0,california state university los angeles,13.0,ucla,12.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,400
PulteGroup,university of central florida,95.0,texas am university,82.0,university of phoenix,73.0,arizona state university,73.0,university of florida,64.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,401
Quanta Services,northwest lineman college,95.0,university of houston,68.0,texas am university,58.0,sam houston state university,53.0,louisiana state university,42.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,402
Qualcomm,birla institute of technology and science pilani,988.0,uc san diego,969.0,indian institute of technology madras,619.0,jawaharlal nehru technological university,580.0,visvesvaraya technological university,538.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,403
Quest Diagnostics,capella university,269.0,university of phoenix,222.0,penn state university,120.0,george mason university,106.0,university of south florida,100.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,404
Ralph Lauren Corporation,fashion institute of technology,413.0,parsons school of design the new school,152.0,the hong kong polytechnic university,92.0,new york university,68.0,university of north carolina at greensboro,67.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,405
Raymond James Financial,university of south florida,871.0,university of florida,357.0,st petersburg college,349.0,florida state university,331.0,university of memphis,203.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,406
RTX Corporation,university of arizona,2185.0,university of connecticut,1790.0,embryriddle aeronautical university,1761.0,university of phoenix,1604.0,worcester polytechnic institute,1251.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,407
Realty Income,san diego state university,32.0,arizona state university,17.0,uc san diego,16.0,w p carey school of business arizona state university,14.0,california state university san marcos,12.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,408
Regency Centers,university of north florida,65.0,florida state university,18.0,university of florida,18.0,florida state college at jacksonville,17.0,university of north florida college of business administration,12.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,409
Rockwell Automation,the silesian university of technology,594.0,university of wisconsinmilwaukee,434.0,milwaukee school of engineering,266.0,uniwersytet ekonomiczny w katowicach,246.0,university of wisconsinmadison,245.0,marquette university,221.0,cleveland state university,215.0,universidad autonoma de nuevo leon,192.0,university of silesia in katowice,178.0,savitribai phule pune university,162.0,case western reserve university,159.0,conestoga college,154.0,purdue university,133.0,the ohio state university,131.0,tecnologico de monterrey,119.0,410
"Rollins, Inc.",georgia state university,34.0,the university of georgia,23.0,kennesaw state university,15.0,university of georgia terry college of business,13.0,university of florida,13.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,411
Roper Technologies,university of south florida,12.0,university of florida,12.0,university of houston,5.0,harvard university,4.0,harvard business school,3.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,412
Ross Stores,fashion institute of technology,222.0,university of phoenix,134.0,san jose state university,100.0,california state university east bay,98.0,san francisco state university,83.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,413
Royal Caribbean Group,florida international university,637.0,miami dade college,294.0,university of miami,151.0,cornell university,143.0,university of florida,142.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,414
S&P Global,delhi university,602.0,osmania university,388.0,gujarat university,296.0,guru gobind singh indraprastha university,246.0,kendriya vidyalaya,239.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,415
Salesforce,trailhead by salesforce,1462.0,university of california berkeley,876.0,university of illinois urbanachampaign,489.0,university of southern california,488.0,stanford university,483.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,416
SBA Communications,florida atlantic university,106.0,universidade paulista,29.0,broward college,25.0,palm beach state college,23.0,nova southeastern university,21.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,417
Schlumberger,university of houston,735.0,texas am university,617.0,heriotwatt university,511.0,the university of texas at austin,375.0,universiti teknologi petronas,315.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,418
Seagate Technology,university of minnesota,323.0,national university of singapore,197.0,nanyang technological university singapore,180.0,university of colorado boulder,152.0,ulster university,132.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,419
Sempra,san diego state university,142.0,uc san diego,45.0,national university,32.0,ucla,29.0,university of southern california,27.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,420
ServiceNow,san jose state university,442.0,uc san diego,398.0,san diego state university,385.0,jawaharlal nehru technological university,324.0,birla institute of technology and science pilani,222.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,421
Sherwin-Williams,cleveland state university,782.0,kent state university,515.0,the university of akron,325.0,the ohio state university,307.0,ohio university,298.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,422
Simon Property Group,indiana university indianapolis,105.0,indiana university bloomington,104.0,ball state university,69.0,purdue university,67.0,indiana university kelley school of business,52.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,423
Skyworks Solutions,universidad autonoma de baja california,277.0,cetys universidad,172.0,uc irvine,69.0,the university of texas at dallas,50.0,temasek polytechnic,49.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,424
J.M. Smucker Company (The),the university of akron,303.0,kent state university,204.0,ashland university,121.0,the ohio state university,108.0,ohio university,54.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,425
Smurfit WestRock,tecnologico de monterrey,165.0,auburn university,139.0,north carolina state university,132.0,universidad icesi,132.0,fgv fundacao getulio vargas,124.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,426
Snap-on,university of wisconsinparkside,90.0,carthage college,52.0,gateway technical college,51.0,university of wisconsinmilwaukee,40.0,university of phoenix,28.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,427
Solventum,university of minnesota,282.0,university of st thomas,112.0,university of minnesota carlson school of management,104.0,university of wisconsinmadison,76.0,university of wroclaw,74.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,428
Southern Company,university of alabama at birmingham,574.0,the university of alabama,444.0,auburn university,439.0,georgia institute of technology,244.0,georgia state university,174.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,429
Southwest Airlines,embryriddle aeronautical university,853.0,texas am university,494.0,university of north texas,471.0,united states air force academy,387.0,the university of texas at arlington,311.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,430
Stanley Black & Decker,university of maryland,129.0,towson university,118.0,central connecticut state university,97.0,universidad autonoma de nuevo leon,92.0,the university of akron,89.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,431
Starbucks,arizona state university,8702.0,university of washington,973.0,california state university fullerton,376.0,w p carey school of business arizona state university,363.0,washington state university,359.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,432
State Street Corporation,krakow university of economics,937.0,university of mumbai,725.0,savitribai phule pune university,638.0,northeastern university,506.0,osmania university,422.0,the institute of chartered accountants of india,386.0,bangalore university,336.0,university of massachusetts amherst,292.0,boston university,276.0,bentley university,245.0,bharathiar university,223.0,boston college,217.0,university of madras,207.0,acca,201.0,institute of cost accountants of india,173.0,433
Steel Dynamics,purdue university fort wayne,123.0,ivy tech community college,90.0,purdue university,73.0,western governors university,55.0,mississippi state university,49.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,434
Steris,cleveland state university,209.0,lakeland community college,152.0,kent state university,132.0,the university of akron,92.0,the ohio state university,84.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,435
"Tapestry, Inc.",fashion institute of technology,303.0,parsons school of design the new school,114.0,new york university,78.0,lim college,60.0,rutgers university,58.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,436
Targa Resources,texas am university,82.0,university of houston,80.0,oklahoma state university,45.0,the university of texas at austin,33.0,lee college,28.0,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,437
Target Corporation,university of minnesota,2434.0,university of minnesota carlson school of management,758.0,university of phoenix,733.0,university of st thomas,715.0,university of wisconsinmadison,585.0,university of central florida,572.0,st cloud state university,492.0,penn state university,430.0,iowa state university,428.0,university of wisconsinstout,389.0,indiana university bloomington,363.0,cornell university,355.0,university of illinois urbanachampaign,250.0,visvesvaraya technological university,201.0,christ university bangalore,146.0,438
TE Connectivity,universidad de sonora,420.0,penn state university,328.0,institute of technology of sonora,307.0,universidade sao francisco,259.0,university of evora,201.0,visvesvaraya technological university,198.0,tecnologico de monterrey,157.0,universidad tecmilenio,140.0,university of galway,103.0,ensa tanger,100.0,universidad del valle de mexico,90.0,savitribai phule pune university,88.0,university of limerick,81.0,faculty of science and technology tangier,66.0,fgv fundacao getulio vargas,65.0,439
Teledyne Technologies,the university of alabama in huntsville,124.0,conestoga college,70.0,university of waterloo,61.0,auburn university,43.0,athens state university,38.0,universite de sherbrooke,37.0,university of nebraskalincoln,37.0,the university of alabama,35.0,california state university northridge,32.0,calhoun community college,30.0,university of tennessee knoxville,25.0,uc santa barbara,21.0,southeast community college,18.0,fontys university of applied sciences,17.0,embryriddle aeronautical university,16.0,440
Teleflex,north carolina state university,115.0,university of limerick,97.0,technological university of the shannon athlone campus,94.0,universidad autonoma de baja california,81.0,universiti sains malaysia,68.0,universidad autonoma de chihuahua,67.0,penn state university,57.0,universiti teknologi mara,50.0,university of minnesota,48.0,tecnologico de monterrey,45.0,university of galway,38.0,instituto tecnologico de chihuahua,36.0,university of phoenix,33.0,universidad tecmilenio,31.0,limerick institute of technology,28.0,441
Teradyne,tecnologico de costa rica,113.0,northeastern university,109.0,university of massachusetts lowell,91.0,university of san carlos,83.0,university of san joserecoletos,73.0,universidad latina de costa rica,67.0,worcester polytechnic institute,64.0,15136694,62.0,wentworth institute of technology,57.0,boston university,57.0,university of massachusetts amherst,53.0,university of cebu,53.0,cebu institute of technology,48.0,universidad de costa rica ucr,48.0,california state university northridge,47.0,442
"Tesla, Inc.",san jose state university,651.0,university of california berkeley,493.0,texas am university,417.0,stanford university,383.0,university of waterloo,365.0,purdue university,351.0,georgia institute of technology,323.0,the university of texas at austin,290.0,arizona state university,261.0,university of southern california,242.0,university of michigan,226.0,northeastern university,217.0,university of illinois urbanachampaign,214.0,the university of british columbia,206.0,savitribai phule pune university,181.0,443
Texas Instruments,texas am university,799.0,the university of texas at dallas,783.0,the university of texas at austin,390.0,texas tech university,334.0,birla institute of technology and science pilani,275.0,university of north texas,268.0,georgia institute of technology,248.0,southern methodist university,234.0,arizona state university,224.0,university of florida,221.0,indian institute of technology madras,196.0,university of illinois urbanachampaign,184.0,indian institute of science iisc,167.0,indian institute of technology bombay,163.0,indian institute of technology kharagpur,129.0,444
Texas Pacific Land Corporation,texas tech university,7.0,university of oklahoma,5.0,texas am university,4.0,university of north texas,4.0,smu cox school of business,3.0,texas state university,3.0,the university of texas at arlington college of business,2.0,the university of texas at arlington,2.0,angelo state university,2.0,texas tech university rawls college of business,2.0,texas wesleyan university,2.0,kansas state university,2.0,abilene christian university,1.0,holland hall school,1.0,university of houston law center,1.0,445
Textron,wichita state university,1049.0,embryriddle aeronautical university,481.0,the university of texas at arlington,420.0,kansas state university,320.0,friends university,304.0,texas am university,301.0,tarrant county college,195.0,purdue university,188.0,penn state university,175.0,butler community college,174.0,university of north texas,148.0,oklahoma state university,142.0,georgia institute of technology,138.0,the university of kansas,134.0,the university of texas at austin,132.0,446
Thermo Fisher Scientific,university of north carolina wilmington,798.0,east carolina university,514.0,north carolina state university,457.0,penn state university,452.0,uc san diego,444.0,university of north carolina at chapel hill,427.0,university of mumbai,285.0,northeastern university,269.0,university at buffalo,266.0,san diego state university,254.0,university of california berkeley,248.0,usp universidade de sao paulo,240.0,uc irvine,220.0,cornell university,159.0,fgv fundacao getulio vargas,136.0,447
TJX Companies,university of massachusetts amherst,347.0,northeastern university,304.0,framingham state university,249.0,isenberg school of management umass amherst,229.0,southern new hampshire university,194.0,bentley university,180.0,university of phoenix,167.0,bryant university,154.0,university of rhode island,148.0,penn state university,144.0,university of massachusetts lowell,131.0,worcester state university,130.0,boston college,123.0,boston university,121.0,university of new hampshire,110.0,448
Tractor Supply,middle tennessee state university mtsu,146.0,university of tennessee knoxville,120.0,university of phoenix,82.0,tennessee technological university,54.0,western kentucky university,50.0,southern new hampshire university,50.0,ivy tech community college,43.0,belmont university,40.0,lipscomb university,36.0,penn state university,36.0,nashville state community college,36.0,texas am university,33.0,western governors university,32.0,haslam college of business at the university of tennessee,32.0,liberty university,25.0,449
Trane Technologies,university of wisconsinla crosse,170.0,university of texas at tyler,111.0,university of north carolina at charlotte,106.0,universidad autonoma de nuevo leon,103.0,university of minnesota,94.0,penn state university,93.0,purdue university,88.0,university of phoenix,84.0,university of south carolina,79.0,viterbo university,69.0,austin peay state university,67.0,university of wisconsinmadison,65.0,indiana university kelley school of business,64.0,western technical college company,64.0,north carolina state university,58.0,450
TransDigm Group,clarkson university,8.0,miami university,7.0,cleveland state university,6.0,visvesvaraya technological university,6.0,weatherhead school of management at case western reserve university,4.0,john carroll university,4.0,the university of akron,4.0,the ohio state university,4.0,clarkson university graduate school,4.0,michigan state university eli broad college of business,3.0,united states military academy at west point,3.0,baldwin wallace university,3.0,university of kentucky,3.0,united states naval academy,3.0,wright state university,3.0,451
Travelers Companies (The),university of connecticut,1070.0,central connecticut state university,744.0,university of hartford,350.0,university of connecticut school of business,327.0,university of minnesota,280.0,eastern connecticut state university,266.0,manchester community college,201.0,bryant university,163.0,quinnipiac university,140.0,penn state university,139.0,illinois state university,137.0,university of st thomas,134.0,university of massachusetts amherst,127.0,bentley university,124.0,southern connecticut state university,122.0,452
Trimble Inc.,university of canterbury,123.0,anna university chennai,117.0,university of colorado boulder,96.0,oregon state university,95.0,colorado state university,64.0,university of madras,60.0,wright state university,60.0,aalto university,59.0,portland state university,58.0,universitatea transilvania din brasov,55.0,teknillinen korkeakoulutekniska hogskolan,51.0,kth royal institute of technology,51.0,thiagarajar college of engineering,51.0,university of otago,45.0,san jose state university,44.0,453
Truist Financial,university of north carolina at charlotte,340.0,north carolina state university,312.0,georgia state university,310.0,east carolina university,310.0,university of north carolina at chapel hill,271.0,university of phoenix,260.0,university of north carolina at greensboro,226.0,the university of georgia,209.0,university of central florida,197.0,georgia institute of technology,194.0,wake forest university,181.0,appalachian state university,178.0,university of georgia terry college of business,164.0,kennesaw state university,162.0,georgia state university j mack robinson college of business,145.0,454
Tyler Technologies,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,455
Tyson Foods,university of arkansas,1410.0,northwest arkansas community college,223.0,arkansas tech university,215.0,purdue global,144.0,university of phoenix,127.0,bellevue university,108.0,oklahoma state university,104.0,texas am university,101.0,john brown university,99.0,university of central arkansas,85.0,southern new hampshire university,78.0,university of arkansas sam m walton college of business,73.0,iowa state university,73.0,kansas state university,63.0,arkansas state university,49.0,456
U.S. Bancorp,university of minnesota,1171.0,university of st thomas,576.0,university of phoenix,575.0,university of minnesota carlson school of management,439.0,university of wisconsinmadison,384.0,university of cincinnati,382.0,metro state university,378.0,st cloud state university,359.0,minnesota state university mankato,328.0,jawaharlal nehru technological university,224.0,university of st thomas opus college of business,199.0,san diego state university,199.0,california state university northridge,155.0,jntuh college of engineering hyderabad,149.0,pacific coast banking school,146.0,457
Uber,university of california berkeley,407.0,university of southern california,267.0,tecnologico de monterrey,266.0,birla institute of technology and science pilani,243.0,university of illinois urbanachampaign,231.0,ucla,225.0,stanford university,219.0,georgia institute of technology,216.0,usp universidade de sao paulo,205.0,columbia university,188.0,fgv fundacao getulio vargas,178.0,cornell university,173.0,harvard business school online,169.0,harvard business school executive education,152.0,indian school of business,118.0,458
"UDR, Inc.",colorado state university,30.0,university of colorado boulder,16.0,university of colorado denver,15.0,metropolitan state university of denver,11.0,university of colorado boulder leeds school of business,11.0,university of phoenix,11.0,university of denver,11.0,university of denver daniels college of business,9.0,virginia tech,8.0,university of central florida,7.0,arapahoe community college,7.0,regis university,6.0,california state university fullerton,6.0,california state university long beach,6.0,liberty university,6.0,459
Ulta Beauty,northern illinois university,121.0,depaul university,100.0,arizona state university,94.0,university of phoenix,93.0,the art institutes,89.0,southern new hampshire university,88.0,university of north texas,86.0,university of illinois chicago,85.0,illinois state university,82.0,university of illinois urbanachampaign,77.0,indiana university bloomington,75.0,penn state university,67.0,michigan state university,66.0,columbia college chicago,59.0,purdue university,56.0,460
Union Pacific Corporation,university of nebraska at omaha,932.0,bellevue university,350.0,university of nebraskalincoln,348.0,creighton university,157.0,university of phoenix,144.0,metropolitan community college,107.0,iowa state university,73.0,community college of the air force,53.0,salt lake community college,47.0,university of nebraska at kearney,45.0,iowa western community college,45.0,universal technical institute inc,41.0,texas am university,39.0,kansas state university,39.0,creighton universitys heider college of business,36.0,461
United Airlines Holdings,embryriddle aeronautical university,1675.0,united states air force academy,559.0,university of illinois urbanachampaign,459.0,purdue university,380.0,university of houston,331.0,southern illinois university carbondale,316.0,depaul university,314.0,metropolitan state university of denver,288.0,lewis university,251.0,university of illinois chicago,250.0,university of north dakota,230.0,northern illinois university,214.0,united states naval academy,206.0,northwestern university,168.0,usaf air command and staff college,160.0,462
United Parcel Service,university of louisville,1591.0,university of phoenix,980.0,thomas edison state university,718.0,colorado technical university,511.0,embryriddle aeronautical university,458.0,georgia state university,409.0,savitribai phule pune university,372.0,georgia institute of technology,327.0,kennesaw state university,287.0,new jersey institute of technology,255.0,rutgers university,202.0,anglia ruskin university,197.0,the university of georgia,189.0,university of georgia terry college of business,144.0,emory university goizueta business school,136.0,463
United Rentals,university of phoenix,101.0,texas state university,73.0,university of north carolina at charlotte,70.0,louisiana state university,67.0,the university of alabama,66.0,texas am university,60.0,universal technical institute inc,52.0,auburn university,47.0,southeastern louisiana university,45.0,arizona state university,45.0,lamar university,41.0,mississippi state university,38.0,east carolina university,38.0,the university of southern mississippi,37.0,appalachian state university,33.0,464
UnitedHealth Group,university of phoenix,2145.0,university of minnesota,2026.0,capella university,1639.0,osmania university,1129.0,university of st thomas,1090.0,delhi university,973.0,jawaharlal nehru technological university,805.0,university of minnesota carlson school of management,771.0,jntuh college of engineering hyderabad,463.0,kendriya vidyalaya,367.0,savitribai phule pune university,334.0,srm ist chennai,292.0,birla institute of technology and science pilani,256.0,vellore institute of technology,223.0,indian school of business,116.0,465
Universal Health Services,university of phoenix,126.0,penn state university,102.0,temple university,99.0,western governors university,82.0,grand canyon university,76.0,university of nevadalas vegas,76.0,college of southern nevada,69.0,walden university,68.0,west chester university of pennsylvania,58.0,chamberlain university,52.0,capella university,50.0,drexel university,36.0,the university of texas at arlington,34.0,liberty university,33.0,texas state university,27.0,466
Valero Energy,the university of texas at san antonio,351.0,texas am university,215.0,lamar university,142.0,university of the incarnate word,116.0,the university of texas at austin,102.0,louisiana state university,83.0,texas tech university,64.0,oklahoma state university,61.0,st marys university,59.0,texas am universitycorpus christi,55.0,texas am universitykingsville,55.0,lamar institute of technology,55.0,university of phoenix,53.0,del mar college,51.0,texas state university,43.0,467
Ventas,university of louisville,27.0,university of illinois urbanachampaign,15.0,indiana university kelley school of business,9.0,indiana university bloomington,9.0,depaul university,9.0,indiana university southeast,9.0,bellarmine university,7.0,sullivan university,7.0,penn state university,7.0,university of wisconsinmadison,7.0,university of kentucky,7.0,university of michigan,6.0,northwestern university,6.0,the university of chicago booth school of business,5.0,university of notre dame,4.0,468
Veralto,insead,9.0,university of virginia darden school of business,7.0,northwestern university kellogg school of management,7.0,harvard business school,7.0,northeastern university,7.0,colorado state university,6.0,university of michigan,6.0,university of buenos aires,6.0,university of wisconsinmadison,6.0,harvard business school online,6.0,massachusetts institute of technology,5.0,university of phoenix,5.0,northwestern university,5.0,universidad del salvador,5.0,bentley university,5.0,469
Verisign,george mason university,84.0,virginia tech,30.0,university of maryland,27.0,northern virginia community college,24.0,james madison university,18.0,strayer university,14.0,virginia tech pamplin college of business,14.0,university of virginia,14.0,the george washington university,13.0,the johns hopkins university,12.0,jawaharlal nehru technological university,10.0,university of maryland global campus,10.0,san jose state university,9.0,georgetown university,9.0,george mason university costello college of business,8.0,470
Verisk Analytics,utah valley university,90.0,agh university of krakow,78.0,rutgers university,74.0,brigham young university,65.0,jagiellonian university,57.0,krakow university of economics,55.0,montclair state university,42.0,northeastern university,41.0,jawaharlal nehru technological university,41.0,stevens institute of technology,37.0,columbia university,30.0,new york university,30.0,texas am university,29.0,rutgers business school,28.0,utah state university,26.0,471
Verizon,strayer university,2229.0,university of phoenix,1443.0,rutgers university,775.0,stevens institute of technology,584.0,jawaharlal nehru technological university,554.0,new jersey institute of technology,450.0,anna university chennai,446.0,penn state university,446.0,villanova university,418.0,osmania university,409.0,jntuh college of engineering hyderabad,338.0,new york university,276.0,university of madras,262.0,birla institute of technology and science pilani,255.0,rutgers business school,201.0,472
Vertex Pharmaceuticals,northeastern university,293.0,boston university,162.0,university of massachusetts amherst,141.0,harvard university,85.0,university of massachusetts lowell,82.0,massachusetts institute of technology,77.0,tufts university,75.0,boston college,75.0,uc san diego,74.0,umass boston,69.0,university of rhode island,67.0,university of connecticut,60.0,university of oxford,56.0,rutgers university,54.0,purdue university,49.0,473
